titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive
Le Lion,Ludovic Colbeau-Justin,Monkey Pack Films,75016,2019-04-20,2019-04-20,48.836669072929006,2.262426867492826,droite
MARIE FRANCINE,VALERIE LEMERCIER,RECTANGLE PRODUCTIONS,75005,2016-04-20,2016-04-20,48.844469999655104,2.341796000123602,gauche
CELLE QUE VOUS CROYEZ,SAFY NEBBOU,DIAPHANA FILMS,75001,2018-03-07,2018-03-07,48.86160999856288,2.347826709698424,droite
L'ASCENSION,LUDOVIC BERNARD,DE L'AUTRE COTE DU DU PERIPH,75008,2016-02-25,2016-02-25,48.876176000318125,2.307901000087476,droite
ALEXANDRE,François Ozon,MANDARIN PRODUCTION,75007,2018-03-24,2018-03-24,48.84943872565304,2.318130467337419,gauche
Le Fataliste,Louis Garrel,Why Not Productions,75015,2018-02-23,2018-02-27,48.83170273368363,2.304739463336813,gauche
Une sirène à Paris,Mathias Malzieu,OVERDRIVE PRODUCTIONS,75116,2019-10-22,2019-10-23,48.86036538975737,2.290502274434173,couronne
DES JOURS SAUVAGES,David LANZMANN,SINGLE MAN PRODUCTIONS,75011,2019-11-06,2019-11-06,48.86256145390784,2.372466237910094,droite
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75007,2020-08-10,2020-08-11,48.86131309228002,2.306783948039568,gauche
DES JOURS SAUVAGES,David LANZMANN,SINGLE MAN PRODUCTIONS,75010,2019-11-06,2019-11-06,48.86847974732256,2.358847210407328,droite
LES BONNES INTENTIONS,GILLES LEGRAND,EPITHETE FILMS,75012,2018-03-20,2018-03-20,48.83092338914065,2.3962814856184,droite
De l'or pour les chiens,Anna Cazanave-Cambet,CG Cinema,75020,2019-10-15,2019-10-16,48.8703832862636,2.387208247270906,droite
Maoussi,Charlotte Schiøler,C.S. Productions,75012,2019-06-06,2019-06-07,48.84527391613018,2.402506547001973,droite
MON INCONNUE,HUGO GÉLIN,ZAZI FILMS,75009,2018-04-19,2018-04-20,48.88186130941878,2.345361174266593,droite
